Physician_ID,First_Name,Last_Name,Title,Company_Name,City,State,Zip_Code,Ownership_Type,Entity_Type,Ticker,Parent_Company,Parent_Country,Ultimate_Parent_Company,Ultimate_Parent_Country,Industry,SIC8_Code,SIC8_Description,SIC4_.Code,SIC4_Description
P29,E. Perot,Bissell,Independent Director,"Acadia Healthcare Company, Inc.",Franklin,Tennessee,37067,Public,Parent,ACHC,"Acadia Healthcare Company, Inc.",United States,"Acadia Healthcare Company, Inc.",United States,Outpatient Care,80930000,"Specialty outpatient clinics, nec",8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
P30,Michael,Fucci,Independent Director,"Acadia Healthcare Company, Inc.",Franklin,Tennessee,37067,Public,Parent,ACHC,"Acadia Healthcare Company, Inc.",United States,"Acadia Healthcare Company, Inc.",United States,Outpatient Care,80930000,"Specialty outpatient clinics, nec",8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
P31,Vicky,Gregg,Independent Director,"Acadia Healthcare Company, Inc.",Franklin,Tennessee,37067,Public,Parent,ACHC,"Acadia Healthcare Company, Inc.",United States,"Acadia Healthcare Company, Inc.",United States,Outpatient Care,80930000,"Specialty outpatient clinics, nec",8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
P32,William,Grieco,Independent Director,"Acadia Healthcare Company, Inc.",Franklin,Tennessee,37067,Public,Parent,ACHC,"Acadia Healthcare Company, Inc.",United States,"Acadia Healthcare Company, Inc.",United States,Outpatient Care,80930000,"Specialty outpatient clinics, nec",8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
P33,Wade,Miquelon,Independent Director,"Acadia Healthcare Company, Inc.",Franklin,Tennessee,37067,Public,Parent,ACHC,"Acadia Healthcare Company, Inc.",United States,"Acadia Healthcare Company, Inc.",United States,Outpatient Care,80930000,"Specialty outpatient clinics, nec",8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
P34,William,Petrie,Independent Director,"Acadia Healthcare Company, Inc.",Franklin,Tennessee,37067,Public,Parent,ACHC,"Acadia Healthcare Company, Inc.",United States,"Acadia Healthcare Company, Inc.",United States,Outpatient Care,80930000,"Specialty outpatient clinics, nec",8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
P35,Justin,Adams,Chief Executive Officer,"Acadia Healthcare Company, Inc.",Franklin,Tennessee,37067,Public,Parent,ACHC,"Acadia Healthcare Company, Inc.",United States,"Acadia Healthcare Company, Inc.",United States,Outpatient Care,80930000,"Specialty outpatient clinics, nec",8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
P36,Jon,Lasell,Chief Executive Officer,"Acadia Healthcare Company, Inc.",Franklin,Tennessee,37067,Public,Parent,ACHC,"Acadia Healthcare Company, Inc.",United States,"Acadia Healthcare Company, Inc.",United States,Outpatient Care,80930000,"Specialty outpatient clinics, nec",8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
P37,Clay,Mccoy,Chief Executive Officer,"Acadia Healthcare Company, Inc.",Franklin,Tennessee,37067,Public,Parent,ACHC,"Acadia Healthcare Company, Inc.",United States,"Acadia Healthcare Company, Inc.",United States,Outpatient Care,80930000,"Specialty outpatient clinics, nec",8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
P38,Todd,Latz,Chief Executive Officer,"Access Clinical Partners, LLC",Atlanta,Georgia,30342,Private,Parent,NA,"Access Clinical Partners, LLC",United States,"Access Clinical Partners, LLC",United States,Diagnostic Laboratories,80710000,Medical laboratories,8071,Medical Laboratories
P39,Ryan,El-Hosseiny,CEO,"Access Medical Laboratories, Inc.",Jupiter,Florida,33458,Private,Independent,NA,NA,NA,NA,NA,Diagnostic Laboratories,80710100,Testing laboratories,8071,Medical Laboratories
P40,Noel,Adachi,President & Ceo,Accreditation Association For Ambulatory Health Care,Skokie,Illinois,60077,Private,Independent,NA,NA,NA,NA,NA,Physicians and Health Practitioners,80110201,Ambulatory surgical center,8011,Offices and Clinics of Doctors of Medicine
P41,Charlotte,Rerko,Chief Executive Officer,"Achievement Center, Inc.",Erie,Pennsylvania,16506,Nonprofit,Parent,NA,"Achievement Center, Inc.",United States,"Achievement Center, Inc.",United States,Outpatient Care,80939902,"Mental health clinic, outpatient",8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
P42,David,Coover,Chief Executive Officer,"Aculabs, Inc.",East Brunswick,New Jersey,8816,Private,Independent,NA,NA,NA,NA,NA,Diagnostic Laboratories,80710100,Testing laboratories,8071,Medical Laboratories
P43,Vi,Peters,Ceo,Acutecare Health System LLC,Lakewood,New Jersey,8701,Partnership,Independent,NA,NA,NA,NA,NA,Hospitals,80620000,General medical and surgical hospitals,8062,General Medical and Surgical Hospitals
P44,Kristin,Prentiss,Chief Financial Officer,Acutecare Health System LLC,Lakewood,New Jersey,8701,Partnership,Independent,NA,NA,NA,NA,NA,Hospitals,80620000,General medical and surgical hospitals,8062,General Medical and Surgical Hospitals
P45,Jeffrey,Graham,President and Chief Executive Officer,Adena Health System,Chillicothe,Ohio,45601,Nonprofit,Parent,NA,Adena Health System,United States,Adena Health System,United States,Hospitals,80629902,"Hospital, med school affiliated with nursing and residency",8062,General Medical and Surgical Hospitals
P46,Eric,Burton,Chief Executive Officer,"Adirondack Health Institute, Inc.",Ticonderoga,New York,12883,Nonprofit,Independent,NA,NA,NA,NA,NA,Ambulatory Services,80999905,Medical services organization,8099,"Health and Allied Services, Not Elsewhere Classified"
P47,Chandler,Ralph,President/Ceo,Adirondack Medical Center,Saranac Lake,New York,12983,Private,Parent,NA,Adirondack Medical Center,United States,Adirondack Medical Center,United States,Hospitals,80620000,General medical and surgical hospitals,8062,General Medical and Surgical Hospitals
P48,Guanghui,Hu,Ceo,"Admera Health, LLC",South Plainfield,New Jersey,7080,Partnership,Independent,NA,NA,NA,NA,NA,Diagnostic Laboratories,80710100,Testing laboratories,8071,Medical Laboratories
P49,Allen,Brown,President And Ceo,Adult and Child Mental Health Center Inc,Indianapolis,Indiana,46227,Private,Parent,NA,Adult and Child Mental Health Center Inc,United States,Adult and Child Mental Health Center Inc,United States,Outpatient Care,80939902,"Mental health clinic, outpatient",8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
P50,Allen,Brown,President and Chief Executive Officer,Adult and Child Mental Health Center Inc,Indianapolis,Indiana,46204,Nonprofit,Independent,NA,NA,NA,NA,NA,Outpatient Care,80939902,"Mental health clinic, outpatient",8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
P51,Penella,Washington,Chief Executive Officer,"Advance Community Health, Inc.",Raleigh,North Carolina,27610,Private,Independent,NA,NA,NA,NA,NA,Outpatient Care,80930000,"Specialty outpatient clinics, nec",8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
P52,Samuel,Moy,Ceo,"Advanced Behavioral Health, Inc.",Middletown,Connecticut,6457,Private,Independent,NA,NA,NA,NA,NA,Outpatient Care,80939902,"Mental health clinic, outpatient",8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
P53,Danielle,Graham,Chief Executive Officer,"Advanced Ent and Allergy, Pllc",Louisville,Kentucky,40220,Partnership,Parent,NA,"Advanced Ent and Allergy, Pllc",United States,"Advanced Ent and Allergy, Pllc",United States,Physicians and Health Practitioners,80110505,"Ears, nose, and throat specialist: physician/surgeon",8011,Offices and Clinics of Doctors of Medicine
P54,Arel,Meister-Aldama,Founder and Chief Executive Officer,Advanced Health and Education Limited Liability Company,Eatontown,New Jersey,7724,Private,Subsidiary,NA,Sprout Health Limited Liability Company,United States,Sprout Health Limited Liability Company,United States,Outpatient Care,80939903,"Rehabilitation center, outpatient treatment",8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
P55,Rita,Westphal,"STARS Chief Executive Officer, ARS Chief Administrative Officer","Advanced Radiology Services, P C",Grand Rapids,Michigan,49525,Private,Independent,NA,NA,NA,NA,NA,Physicians and Health Practitioners,80110519,Radiologist,8011,Offices and Clinics of Doctors of Medicine
P56,Mitchell,Eisenberg,Chief Executive Officer,"Advanced Recovery Systems, LLC",Fort Lauderdale,Florida,33394,Private,Parent,NA,"Advanced Recovery Systems, LLC",United States,"Advanced Recovery Systems, LLC",United States,Outpatient Care,80930100,Substance abuse clinics (outpatient),8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
P57,Jitesh,Patel,Chief Executive Officer,"Advanced Urology Institute of Georgia, PC",Snellville,Georgia,30078,Private,Parent,NA,"Advanced Urology Institute of Georgia, PC",United States,"Advanced Urology Institute of Georgia, PC",United States,Physicians and Health Practitioners,80110523,Urologist,8011,Offices and Clinics of Doctors of Medicine
P58,Tamara,Conlin,Chief Executive Officer,Advantage Behavioral Health Systems,Athens,Georgia,30601,Private,Parent,NA,Advantage Behavioral Health Systems,United States,Advantage Behavioral Health Systems,United States,Outpatient Care,80939902,"Mental health clinic, outpatient",8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
P59,Jim,Skogsbergh,CEO,Advocate Aurora Health Inc.,Downers Grove,Illinois,60515,Private,Parent,NA,Advocate Aurora Health Inc.,United States,Advocate Aurora Health Inc.,United States,Hospitals,80620000,General medical and surgical hospitals,8062,General Medical and Surgical Hospitals
P60,Sonny,Roshan,Executive Chairman / Ceo,Aeon Global Health Corp.,Gainesville,Georgia,30504,Private,Parent,NA,Aeon Global Health Corp.,United States,Aeon Global Health Corp.,United States,Diagnostic Laboratories,80710000,Medical laboratories,8071,Medical Laboratories
P61,Kathy,Ba,Chief Executive Officer / President,"Affiliated Service Providers of Indiana, Inc.",Carmel,Indiana,46032,Private,Independent,NA,NA,NA,NA,NA,Outpatient Care,80939902,"Mental health clinic, outpatient",8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
P62,Doug,Trost,St. Francis Home President And Chief Executive Officer,"Agnesian Healthcare, Inc.",Fond Du Lac,Wisconsin,54935,Nonprofit,Parent,NA,"Agnesian Healthcare, Inc.",United States,"Agnesian Healthcare, Inc.",United States,Hospitals,80620000,General medical and surgical hospitals,8062,General Medical and Surgical Hospitals
P63,Robert,Cushing,Chairman,Albany Medical Center,Albany,New York,12208,Private,Parent,NA,Albany Medical Center,United States,Albany Medical Center,United States,Hospitals,80620000,General medical and surgical hospitals,8062,General Medical and Surgical Hospitals
P64,Tom,Foggo,Ceo,Albany Medical Center,Albany,New York,12208,Private,Parent,NA,Albany Medical Center,United States,Albany Medical Center,United States,Hospitals,80620000,General medical and surgical hospitals,8062,General Medical and Surgical Hospitals
P65,Tom,Foggo,Ceo,Albany Medical Center-South Clinical Campus,Albany,New York,12208,Nonprofit,Independent,NA,NA,NA,NA,NA,Hospitals,80620000,General medical and surgical hospitals,8062,General Medical and Surgical Hospitals
P66,Bruce,Christian,Chief Executive Officer,Alexian Brothers Ambulatory Group,Arlington Heights,Illinois,60005,Private,Independent,NA,NA,NA,NA,NA,Hospitals,80620000,General medical and surgical hospitals,8062,General Medical and Surgical Hospitals
P67,Len,Wilk,Chief Executive Officer,Alexian Brothers Medical Center Inc,Elk Grove Village,Illinois,60007,Nonprofit,Parent,NA,Alexian Brothers Medical Center Inc,United States,Alexian Brothers Medical Center Inc,United States,Hospitals,80629907,"Hospital, AMA approved residency",8062,General Medical and Surgical Hospitals
P68,Ben,Kurland,Chief Executive Officer,Allaire Rehab and Nursing LLC,Freehold,New Jersey,7728,Private,Independent,NA,NA,NA,NA,NA,Outpatient Care,80939903,"Rehabilitation center, outpatient treatment",8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
P69,Ronald,Andro,President Chief Executive Officer,Allegheny General Hospital Inc,Pittsburgh,Pennsylvania,15212,Nonprofit,Subsidiary,NA,Allegheny Health Network,United States,Highmark Inc,United States,Hospitals,80629905,"Hospital, professional nursing school",8062,General Medical and Surgical Hospitals
P70,Elie,Aoun,"Division Chief of Gastroenterology, Hepatology and Nutrition",Allegheny Health Network,Pittsburgh,Pennsylvania,15222,Nonprofit,Subsidiary,NA,HM Health Solutions Inc.,United States,Highmark Inc,United States,Ambulatory Services,80990100,Blood related health services,8099,"Health and Allied Services, Not Elsewhere Classified"
P71,Kelly,Kassab,"COO, Canonsburg and Jefferson Hospitals",Allegheny Health Network,Pittsburgh,Pennsylvania,15222,Nonprofit,Subsidiary,NA,HM Health Solutions Inc.,United States,Highmark Inc,United States,Ambulatory Services,80990100,Blood related health services,8099,"Health and Allied Services, Not Elsewhere Classified"
P72,Rob,Robinson,Chief Executive Officer,"Alliance Behavioral Health Services, Inc.",Morrisville,North Carolina,27560,Private,Independent,NA,NA,NA,NA,NA,Outpatient Care,80939902,"Mental health clinic, outpatient",8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
P73,Steve,Williams,Chief Financial Officer,Alliance Health Center Inc,Meridian,Mississippi,39301,Private,Subsidiary,NA,"Willow Springs, LLC",United States,"Universal Health Services, Inc.",United States,Hospitals,80630000,Psychiatric hospitals,8063,Psychiatric Hospitals
P74,Andrew,Calkins,Chief Executive Officer,Alliance Health of Brockton Inc,Southborough,Massachusetts,1772,Nonprofit,Independent,NA,NA,NA,NA,NA,Ambulatory Services,80990000,"Health and allied services, nec",8099,"Health and Allied Services, Not Elsewhere Classified"
P75,Dennis,White,President and Chief Executive Officer,"Alliant Health Group, Inc.",Atlanta,Georgia,30346,Nonprofit,Parent,NA,"Alliant Health Group, Inc.",United States,"Alliant Health Group, Inc.",United States,Ambulatory Services,80999905,Medical services organization,8099,"Health and Allied Services, Not Elsewhere Classified"
P76,Donald,Shook,Ceo,Allied Physicians Inc,Fort Wayne,Indiana,46804,Private,Parent,NA,Allied Physicians Inc,United States,Allied Physicians Inc,United States,Physicians and Health Practitioners,80119904,"Physicians' office, including specialists",8011,Offices and Clinics of Doctors of Medicine
P77,James,Mcdonald,President & Chief Executive Officer,Allwell Behavioral Health Services,Zanesville,Ohio,43701,Nonprofit,Parent,NA,Allwell Behavioral Health Services,United States,Allwell Behavioral Health Services,United States,Outpatient Care,80939902,"Mental health clinic, outpatient",8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
P78,Jim,Zechman,Chief Executive Officer,Alternative Medicine Integration LLC,Highland Park,Illinois,60035,Partnership,Parent,NA,Alternative Medicine Integration LLC,United States,Alternative Medicine Integration LLC,United States,Physicians and Health Practitioners,80110200,Medical centers,8011,Offices and Clinics of Doctors of Medicine
P79,Sherri,Ash-Henson,Chief Financial Officer,Alton Multispecialists Ltd Inc,Alton,Illinois,62002,Private,Parent,NA,Alton Multispecialists Ltd Inc,United States,Alton Multispecialists Ltd Inc,United States,Physicians and Health Practitioners,80110105,"Internal medicine, physician/surgeon",8011,Offices and Clinics of Doctors of Medicine
P80,Paul,Amrhein,President / Chief Executive Officer,"Ambulatory Medical Care, Inc",Milford,Ohio,45150,Private,Parent,NA,"Ambulatory Medical Care, Inc",United States,"Ambulatory Medical Care, Inc",United States,Physicians and Health Practitioners,80110202,"Clinic, operated by physicians",8011,Offices and Clinics of Doctors of Medicine
P81,Sally,Goza,President,American Academy of Pediatrics,Itasca,Illinois,60143,Nonprofit,Parent,NA,American Academy of Pediatrics,United States,American Academy of Pediatrics,United States,Physicians and Health Practitioners,80110516,Pediatrician,8011,Offices and Clinics of Doctors of Medicine
P82,Errol,Alden,Chief Executive Officer,American Academy of Pediatrics,Itasca,Illinois,60143,Nonprofit,Parent,NA,American Academy of Pediatrics,United States,American Academy of Pediatrics,United States,Physicians and Health Practitioners,80110516,Pediatrician,8011,Offices and Clinics of Doctors of Medicine
P83,Andrew,Mcwilliams,Chief Executive Officer and Director,"American Addiction Centers, Inc.",Brentwood,Tennessee,37027,Private,Subsidiary,NA,"AAC Holdings, Inc.",United States,"AAC Holdings, Inc.",United States,Outpatient Care,80930100,Substance abuse clinics (outpatient),8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
P84,Mark,Calarco,Chief Executive Officer Medical Director,"American Addiction Centers, Inc.",Brentwood,Tennessee,37027,Private,Subsidiary,NA,"AAC Holdings, Inc.",United States,"AAC Holdings, Inc.",United States,Outpatient Care,80930100,Substance abuse clinics (outpatient),8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
P85,Tyler,Harrell,Chief Executive Officer,"American Addiction Centers, Inc.",Brentwood,Tennessee,37027,Private,Subsidiary,NA,"AAC Holdings, Inc.",United States,"AAC Holdings, Inc.",United States,Outpatient Care,80930100,Substance abuse clinics (outpatient),8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
P86,Brian,Wall,Vice President of Revenue Cycle,"American Oncology Network, LLC",Fort Myers,Florida,33905,Private,Parent,NA,"American Oncology Network, LLC",United States,"American Oncology Network, LLC",United States,Physicians and Health Practitioners,80110108,Oncologist,8011,Offices and Clinics of Doctors of Medicine
P87,Gary,Knauer,Chief Financial Officer,"American Para Professional Systems, Inc.",Jericho,New York,11753,Private,Parent,NA,"American Para Professional Systems, Inc.",United States,"American Para Professional Systems, Inc.",United States,Ambulatory Services,80990203,"Physical examination service, insurance",8099,"Health and Allied Services, Not Elsewhere Classified"
P88,Mark,Lamp,President & Ceo Director,"American Pathology Partners, Inc.",Brentwood,Tennessee,37027,Private,Parent,NA,"American Pathology Partners, Inc.",United States,"American Pathology Partners, Inc.",United States,Diagnostic Laboratories,80710104,Pathological laboratory,8071,Medical Laboratories
P89,Saul,Levin,Chief Executive Officer,American Psychiatric Publishing Inc,Arlington,Virginia,22209,Private,Independent,NA,NA,NA,NA,NA,Physicians and Health Practitioners,80110402,Psychiatrist,8011,Offices and Clinics of Doctors of Medicine
P90,Joseph,Carlucci,"Chairman of the Board, Chief Executive Officer, Co-Founder","American Renal Associates Holdings, Inc.",Beverly,Massachusetts,1915,Public,Parent,ARA,"American Renal Associates Holdings, Inc.",United States,"American Renal Associates Holdings, Inc.",United States,Outpatient Care,80920000,Kidney dialysis centers,8092,Kidney Dialysis Centers
P91,Syed,Kamal,"President, Co-Founder, Director","American Renal Associates Holdings, Inc.",Beverly,Massachusetts,1915,Public,Parent,ARA,"American Renal Associates Holdings, Inc.",United States,"American Renal Associates Holdings, Inc.",United States,Outpatient Care,80920000,Kidney dialysis centers,8092,Kidney Dialysis Centers
P92,Don,Williamson,"Chief Operating Officer, Executive Vice President","American Renal Associates Holdings, Inc.",Beverly,Massachusetts,1915,Public,Parent,ARA,"American Renal Associates Holdings, Inc.",United States,"American Renal Associates Holdings, Inc.",United States,Outpatient Care,80920000,Kidney dialysis centers,8092,Kidney Dialysis Centers
P93,Mark,Herbers,"Interim Chief Financial Officer, Interim Chief Accounting Officer","American Renal Associates Holdings, Inc.",Beverly,Massachusetts,1915,Public,Parent,ARA,"American Renal Associates Holdings, Inc.",United States,"American Renal Associates Holdings, Inc.",United States,Outpatient Care,80920000,Kidney dialysis centers,8092,Kidney Dialysis Centers
P94,Darren,Lehrich,SVP Strategy & Investor Relations,"American Renal Associates Holdings, Inc.",Beverly,Massachusetts,1915,Public,Parent,ARA,"American Renal Associates Holdings, Inc.",United States,"American Renal Associates Holdings, Inc.",United States,Outpatient Care,80920000,Kidney dialysis centers,8092,Kidney Dialysis Centers
