Company_ID,Company_Name,City,State,Zip_Code,Number_Physicians,Revenue_Millions,Profit_Millions,Asset_Millions,Employees_Single_Site,Employees_All_Sites,Ownership_Type,Entity_Type,Ticker,Parent_Company,Parent_Country,Ultimate_Parent_Company,Ultimate_Parent_Country,Industry,SIC8_Code,SIC8_Description,SIC4_.Code,SIC4_Description
C16,"Achievement Center, Inc.",Erie,Pennsylvania,16506,1,12,NA,9,NA,100,Nonprofit,Parent,NA,"Achievement Center, Inc.",United States,"Achievement Center, Inc.",United States,Outpatient Care,80939902,"Mental health clinic, outpatient",8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
C17,"Aculabs, Inc.",East Brunswick,New Jersey,8816,1,27,NA,4,320,320,Private,Independent,NA,NA,NA,NA,NA,Diagnostic Laboratories,80710100,Testing laboratories,8071,Medical Laboratories
C18,Acutecare Health System LLC,Lakewood,New Jersey,8701,2,11,NA,NA,200,200,Partnership,Independent,NA,NA,NA,NA,NA,Hospitals,80620000,General medical and surgical hospitals,8062,General Medical and Surgical Hospitals
C19,Adena Health System,Chillicothe,Ohio,45601,1,471,NA,607,2000,3000,Nonprofit,Parent,NA,Adena Health System,United States,Adena Health System,United States,Hospitals,80629902,"Hospital, med school affiliated with nursing and residency",8062,General Medical and Surgical Hospitals
C20,"Adirondack Health Institute, Inc.",Ticonderoga,New York,12883,1,51,NA,34,68,68,Nonprofit,Independent,NA,NA,NA,NA,NA,Ambulatory Services,80999905,Medical services organization,8099,"Health and Allied Services, Not Elsewhere Classified"
C21,Adirondack Medical Center,Saranac Lake,New York,12983,1,99,NA,120,425,650,Private,Parent,NA,Adirondack Medical Center,United States,Adirondack Medical Center,United States,Hospitals,80620000,General medical and surgical hospitals,8062,General Medical and Surgical Hospitals
C22,"Admera Health, LLC",South Plainfield,New Jersey,7080,1,14,NA,NA,85,85,Partnership,Independent,NA,NA,NA,NA,NA,Diagnostic Laboratories,80710100,Testing laboratories,8071,Medical Laboratories
C23,Adult and Child Mental Health Center Inc,Indianapolis,Indiana,46227,2,31,NA,25,307,386,Private,Parent,NA,Adult and Child Mental Health Center Inc,United States,Adult and Child Mental Health Center Inc,United States,Outpatient Care,80939902,"Mental health clinic, outpatient",8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
C24,"Advance Community Health, Inc.",Raleigh,North Carolina,27610,1,6,NA,5,27,27,Private,Independent,NA,NA,NA,NA,NA,Outpatient Care,80930000,"Specialty outpatient clinics, nec",8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
C25,"Advanced Behavioral Health, Inc.",Middletown,Connecticut,6457,1,13,NA,0,156,156,Private,Independent,NA,NA,NA,NA,NA,Outpatient Care,80939902,"Mental health clinic, outpatient",8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
C26,"Advanced Ent and Allergy, Pllc",Louisville,Kentucky,40220,1,15,NA,NA,NA,145,Partnership,Parent,NA,"Advanced Ent and Allergy, Pllc",United States,"Advanced Ent and Allergy, Pllc",United States,Physicians and Health Practitioners,80110505,"Ears, nose, and throat specialist: physician/surgeon",8011,Offices and Clinics of Doctors of Medicine
C27,Advanced Health and Education Limited Liability Company,Eatontown,New Jersey,7724,1,17,NA,9,62,62,Private,Subsidiary,NA,Sprout Health Limited Liability Company,United States,Sprout Health Limited Liability Company,United States,Outpatient Care,80939903,"Rehabilitation center, outpatient treatment",8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
C28,"Advanced Radiology Services, P C",Grand Rapids,Michigan,49525,1,15,NA,1,NA,84,Private,Independent,NA,NA,NA,NA,NA,Physicians and Health Practitioners,80110519,Radiologist,8011,Offices and Clinics of Doctors of Medicine
C29,"Advanced Recovery Systems, LLC",Fort Lauderdale,Florida,33394,1,19,NA,NA,NA,185,Private,Parent,NA,"Advanced Recovery Systems, LLC",United States,"Advanced Recovery Systems, LLC",United States,Outpatient Care,80930100,Substance abuse clinics (outpatient),8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
C30,"Advanced Urology Institute of Georgia, PC",Snellville,Georgia,30078,1,14,NA,NA,NA,114,Private,Parent,NA,"Advanced Urology Institute of Georgia, PC",United States,"Advanced Urology Institute of Georgia, PC",United States,Physicians and Health Practitioners,80110523,Urologist,8011,Offices and Clinics of Doctors of Medicine
C31,Advantage Behavioral Health Systems,Athens,Georgia,30601,1,38,NA,NA,125,600,Private,Parent,NA,Advantage Behavioral Health Systems,United States,Advantage Behavioral Health Systems,United States,Outpatient Care,80939902,"Mental health clinic, outpatient",8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
C32,Advocate Aurora Health Inc.,Downers Grove,Illinois,60515,1,5466,NA,NA,NA,73300,Private,Parent,NA,Advocate Aurora Health Inc.,United States,Advocate Aurora Health Inc.,United States,Hospitals,80620000,General medical and surgical hospitals,8062,General Medical and Surgical Hospitals
C33,Aeon Global Health Corp.,Gainesville,Georgia,30504,1,13,NA,4,NA,66,Private,Parent,NA,Aeon Global Health Corp.,United States,Aeon Global Health Corp.,United States,Diagnostic Laboratories,80710000,Medical laboratories,8071,Medical Laboratories
C34,"Affiliated Service Providers of Indiana, Inc.",Carmel,Indiana,46032,1,5,NA,2,15,15,Private,Independent,NA,NA,NA,NA,NA,Outpatient Care,80939902,"Mental health clinic, outpatient",8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
C35,"Agnesian Healthcare, Inc.",Fond Du Lac,Wisconsin,54935,1,480,NA,660,1,2012,Nonprofit,Parent,NA,"Agnesian Healthcare, Inc.",United States,"Agnesian Healthcare, Inc.",United States,Hospitals,80620000,General medical and surgical hospitals,8062,General Medical and Surgical Hospitals
C36,Albany Medical Center,Albany,New York,12208,2,665,NA,732,NA,7000,Private,Parent,NA,Albany Medical Center,United States,Albany Medical Center,United States,Hospitals,80620000,General medical and surgical hospitals,8062,General Medical and Surgical Hospitals
C37,Albany Medical Center-South Clinical Campus,Albany,New York,12208,1,29,NA,34,225,225,Nonprofit,Independent,NA,NA,NA,NA,NA,Hospitals,80620000,General medical and surgical hospitals,8062,General Medical and Surgical Hospitals
C38,Alexian Brothers Ambulatory Group,Arlington Heights,Illinois,60005,1,50,NA,NA,2,2,Private,Independent,NA,NA,NA,NA,NA,Hospitals,80620000,General medical and surgical hospitals,8062,General Medical and Surgical Hospitals
C39,Alexian Brothers Medical Center Inc,Elk Grove Village,Illinois,60007,1,371,NA,280,2800,3500,Nonprofit,Parent,NA,Alexian Brothers Medical Center Inc,United States,Alexian Brothers Medical Center Inc,United States,Hospitals,80629907,"Hospital, AMA approved residency",8062,General Medical and Surgical Hospitals
C40,Allaire Rehab and Nursing LLC,Freehold,New Jersey,7728,1,12,NA,NA,85,85,Private,Independent,NA,NA,NA,NA,NA,Outpatient Care,80939903,"Rehabilitation center, outpatient treatment",8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
C41,Allegheny General Hospital Inc,Pittsburgh,Pennsylvania,15212,1,720,NA,376,4864,5064,Nonprofit,Subsidiary,NA,Allegheny Health Network,United States,Highmark Inc,United States,Hospitals,80629905,"Hospital, professional nursing school",8062,General Medical and Surgical Hospitals
C42,Allegheny Health Network,Pittsburgh,Pennsylvania,15222,2,2239,NA,3013,NA,5079,Nonprofit,Subsidiary,NA,HM Health Solutions Inc.,United States,Highmark Inc,United States,Ambulatory Services,80990100,Blood related health services,8099,"Health and Allied Services, Not Elsewhere Classified"
C43,"Alliance Behavioral Health Services, Inc.",Morrisville,North Carolina,27560,1,10,NA,NA,521,521,Private,Independent,NA,NA,NA,NA,NA,Outpatient Care,80939902,"Mental health clinic, outpatient",8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
C44,Alliance Health Center Inc,Meridian,Mississippi,39301,1,33,NA,100,385,385,Private,Subsidiary,NA,"Willow Springs, LLC",United States,"Universal Health Services, Inc.",United States,Hospitals,80630000,Psychiatric hospitals,8063,Psychiatric Hospitals
C45,Alliance Health of Brockton Inc,Southborough,Massachusetts,1772,1,13,NA,NA,2,2,Nonprofit,Independent,NA,NA,NA,NA,NA,Ambulatory Services,80990000,"Health and allied services, nec",8099,"Health and Allied Services, Not Elsewhere Classified"
C46,"Alliant Health Group, Inc.",Atlanta,Georgia,30346,1,39,NA,61,27,140,Nonprofit,Parent,NA,"Alliant Health Group, Inc.",United States,"Alliant Health Group, Inc.",United States,Ambulatory Services,80999905,Medical services organization,8099,"Health and Allied Services, Not Elsewhere Classified"
C47,Allied Physicians Inc,Fort Wayne,Indiana,46804,1,19,NA,2,10,140,Private,Parent,NA,Allied Physicians Inc,United States,Allied Physicians Inc,United States,Physicians and Health Practitioners,80119904,"Physicians' office, including specialists",8011,Offices and Clinics of Doctors of Medicine
C48,Allwell Behavioral Health Services,Zanesville,Ohio,43701,1,15,NA,11,26,190,Nonprofit,Parent,NA,Allwell Behavioral Health Services,United States,Allwell Behavioral Health Services,United States,Outpatient Care,80939902,"Mental health clinic, outpatient",8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
C49,Alternative Medicine Integration LLC,Highland Park,Illinois,60035,1,5,NA,NA,18,22,Partnership,Parent,NA,Alternative Medicine Integration LLC,United States,Alternative Medicine Integration LLC,United States,Physicians and Health Practitioners,80110200,Medical centers,8011,Offices and Clinics of Doctors of Medicine
C50,Alton Multispecialists Ltd Inc,Alton,Illinois,62002,1,20,NA,2,100,255,Private,Parent,NA,Alton Multispecialists Ltd Inc,United States,Alton Multispecialists Ltd Inc,United States,Physicians and Health Practitioners,80110105,"Internal medicine, physician/surgeon",8011,Offices and Clinics of Doctors of Medicine
C51,"Ambulatory Medical Care, Inc",Milford,Ohio,45150,1,18,NA,3,35,170,Private,Parent,NA,"Ambulatory Medical Care, Inc",United States,"Ambulatory Medical Care, Inc",United States,Physicians and Health Practitioners,80110202,"Clinic, operated by physicians",8011,Offices and Clinics of Doctors of Medicine
C52,American Academy of Pediatrics,Itasca,Illinois,60143,2,127,NA,137,16,400,Nonprofit,Parent,NA,American Academy of Pediatrics,United States,American Academy of Pediatrics,United States,Physicians and Health Practitioners,80110516,Pediatrician,8011,Offices and Clinics of Doctors of Medicine
C53,"American Addiction Centers, Inc.",Brentwood,Tennessee,37027,3,79,NA,NA,35,760,Private,Subsidiary,NA,"AAC Holdings, Inc.",United States,"AAC Holdings, Inc.",United States,Outpatient Care,80930100,Substance abuse clinics (outpatient),8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
C54,"American Oncology Network, LLC",Fort Myers,Florida,33905,1,16,NA,NA,NA,99,Private,Parent,NA,"American Oncology Network, LLC",United States,"American Oncology Network, LLC",United States,Physicians and Health Practitioners,80110108,Oncologist,8011,Offices and Clinics of Doctors of Medicine
C55,"American Para Professional Systems, Inc.",Jericho,New York,11753,1,11,NA,2,28,60,Private,Parent,NA,"American Para Professional Systems, Inc.",United States,"American Para Professional Systems, Inc.",United States,Ambulatory Services,80990203,"Physical examination service, insurance",8099,"Health and Allied Services, Not Elsewhere Classified"
C56,"American Pathology Partners, Inc.",Brentwood,Tennessee,37027,1,18,NA,NA,8,280,Private,Parent,NA,"American Pathology Partners, Inc.",United States,"American Pathology Partners, Inc.",United States,Diagnostic Laboratories,80710104,Pathological laboratory,8071,Medical Laboratories
C57,American Psychiatric Publishing Inc,Arlington,Virginia,22209,1,9,NA,NA,16,16,Private,Independent,NA,NA,NA,NA,NA,Physicians and Health Practitioners,80110402,Psychiatrist,8011,Offices and Clinics of Doctors of Medicine
C58,"American Renal Associates Holdings, Inc.",Beverly,Massachusetts,1915,13,823,8,0,NA,4030,Public,Parent,ARA,"American Renal Associates Holdings, Inc.",United States,"American Renal Associates Holdings, Inc.",United States,Outpatient Care,80920000,Kidney dialysis centers,8092,Kidney Dialysis Centers
C59,Amerihealth Caritas Health Plan,Philadelphia,Pennsylvania,19113,1,6400,NA,NA,2200,7200,Private,Parent,NA,Amerihealth Caritas Health Plan,United States,Amerihealth Caritas Health Plan,United States,Ambulatory Services,80999901,Childbirth preparation clinic,8099,"Health and Allied Services, Not Elsewhere Classified"
C60,"Ammonoosuc Community Health Services, Inc.",Littleton,New Hampshire,3561,1,11,NA,7,50,108,Nonprofit,Parent,NA,"Ammonoosuc Community Health Services, Inc.",United States,"Ammonoosuc Community Health Services, Inc.",United States,Physicians and Health Practitioners,80110202,"Clinic, operated by physicians",8011,Offices and Clinics of Doctors of Medicine
C61,Andrew Sports Medicine & Orthopedic Center,Birmingham,Alabama,35205,1,6,NA,NA,70,70,Private,Independent,NA,NA,NA,NA,NA,Physicians and Health Practitioners,80110514,Orthopedic physician,8011,Offices and Clinics of Doctors of Medicine
C62,Anmed Health,Anderson,South Carolina,29621,1,544,NA,894,2420,2600,Nonprofit,Parent,NA,Anmed Health,United States,Anmed Health,United States,Hospitals,80620000,General medical and surgical hospitals,8062,General Medical and Surgical Hospitals
C63,Anna Hospital Corporation,Anna,Illinois,62906,1,20,NA,NA,NA,180,Private,Subsidiary,NA,Quorum Health Corporation,United States,Quorum Health Corporation,United States,Hospitals,80620000,General medical and surgical hospitals,8062,General Medical and Surgical Hospitals
C64,Anna Jaques Hospital,Newburyport,Massachusetts,1950,1,127,NA,89,950,1211,Private,Parent,NA,Anna Jaques Hospital,United States,Anna Jaques Hospital,United States,Hospitals,80620000,General medical and surgical hospitals,8062,General Medical and Surgical Hospitals
C65,"Anne Arundel Dermatology, P.A.",Linthicum Heights,Maryland,21090,1,8,NA,NA,20,30,Private,Parent,NA,"Anne Arundel Dermatology, P.A.",United States,"Anne Arundel Dermatology, P.A.",United States,Physicians and Health Practitioners,80110503,Dermatologist,8011,Offices and Clinics of Doctors of Medicine
C66,"Anne Arundel Medical Center, Inc.",Annapolis,Maryland,21401,1,579,NA,950,1800,1890,Private,Subsidiary,NA,"Luminis Health, Inc.",United States,"Luminis Health, Inc.",United States,Hospitals,80620000,General medical and surgical hospitals,8062,General Medical and Surgical Hospitals
C67,"Anniston Hma, LLC",Anniston,Alabama,36207,1,34,NA,34,350,350,Private,Subsidiary,NA,The Health Care Authority of The City of Anniston,United States,The Health Care Authority of The City of Anniston,United States,Hospitals,80620000,General medical and surgical hospitals,8062,General Medical and Surgical Hospitals
C68,Apicha Community Health Center,New York,New York,10013,1,13,NA,13,50,50,Nonprofit,Independent,NA,NA,NA,NA,NA,Physicians and Health Practitioners,80110205,Primary care medical clinic,8011,Offices and Clinics of Doctors of Medicine
C69,"Apollomd, Inc.",Atlanta,Georgia,30328,1,27,NA,NA,NA,140,Private,Parent,NA,"Apollomd, Inc.",United States,"Apollomd, Inc.",United States,Physicians and Health Practitioners,80119904,"Physicians' office, including specialists",8011,Offices and Clinics of Doctors of Medicine
C70,"Appalachian Regional Healthcare, Inc.",Lexington,Kentucky,40505,1,869,NA,911,120,4520,Nonprofit,Parent,NA,"Appalachian Regional Healthcare, Inc.",United States,"Appalachian Regional Healthcare, Inc.",United States,Hospitals,80620000,General medical and surgical hospitals,8062,General Medical and Surgical Hospitals
C71,"Ardent Health Partners, LLC",Nashville,Tennessee,37215,1,821,NA,NA,70,11000,Private,Subsidiary,NA,"Ventas, Inc.",United States,"Ventas, Inc.",United States,Hospitals,80690000,"Specialty hospitals, except psychiatric",8069,"Specialty Hospitals, Except Psychiatric"
C72,"Armor Correctional Health Services, Inc.",Miami,Florida,33155,1,155,NA,43,50,2000,Private,Parent,NA,"Armor Correctional Health Services, Inc.",United States,"Armor Correctional Health Services, Inc.",United States,Ambulatory Services,80999905,Medical services organization,8099,"Health and Allied Services, Not Elsewhere Classified"
C73,"Arthritis & Rheumatism Associates, PC (inc)",Silver Spring,Maryland,20902,1,10,NA,1,57,76,Private,Parent,NA,"Arthritis & Rheumatism Associates, PC (inc)",United States,"Arthritis & Rheumatism Associates, PC (inc)",United States,Physicians and Health Practitioners,80110520,"Rheumatology specialist, physician/surgeon",8011,Offices and Clinics of Doctors of Medicine
C74,Ashland Hospital Corporation,Ashland,Kentucky,41101,1,408,NA,673,2000,4200,Nonprofit,Subsidiary,NA,"King's Daughters Health System, Inc.",United States,"King's Daughters Health System, Inc.",United States,Hospitals,80620000,General medical and surgical hospitals,8062,General Medical and Surgical Hospitals
C75,Aspirus Iron Area Health Foundation,Iron River,Michigan,49935,1,28,NA,35,230,275,Nonprofit,Parent,NA,Aspirus Iron Area Health Foundation,United States,Aspirus Iron Area Health Foundation,United States,Hospitals,80620000,General medical and surgical hospitals,8062,General Medical and Surgical Hospitals
C76,Assured Family Services,Detroit,Michigan,48202,1,11,NA,NA,3,3,Private,Independent,NA,NA,NA,NA,NA,Physicians and Health Practitioners,80490401,Clinical psychologist,8049,"Offices and Clinics of Health Practitioners, Not Elsewhere Classified"
C77,Athens Neighborhood Health Center,Athens,Georgia,30601,1,5,NA,2,NA,14,Nonprofit,Parent,NA,Athens Neighborhood Health Center,United States,Athens Neighborhood Health Center,United States,Physicians and Health Practitioners,80119901,"General and family practice, physician/surgeon",8011,Offices and Clinics of Doctors of Medicine
C78,"Athletico, Ltd.",Oak Brook,Illinois,60523,1,21,NA,NA,15,136,Private,Parent,NA,"Athletico, Ltd.",United States,"Athletico, Ltd.",United States,Physicians and Health Practitioners,80490200,Physical therapist,8049,"Offices and Clinics of Health Practitioners, Not Elsewhere Classified"
C79,"ATI Holdings, LLC",Bolingbrook,Illinois,60440,1,264,NA,NA,300,6000,Private,Parent,NA,"ATI Holdings, LLC",United States,"ATI Holdings, LLC",United States,Physicians and Health Practitioners,80490200,Physical therapist,8049,"Offices and Clinics of Health Practitioners, Not Elsewhere Classified"
C80,Atlanta Oncology Associates PC,Alpharetta,Georgia,30005,1,9,NA,8,10,75,Private,Parent,NA,Atlanta Oncology Associates PC,United States,Atlanta Oncology Associates PC,United States,Physicians and Health Practitioners,80110108,Oncologist,8011,Offices and Clinics of Doctors of Medicine
C81,Atlantic Health System Inc.,Morristown,New Jersey,7960,1,3163,NA,4329,NA,3100,Nonprofit,Subsidiary,NA,Ahs Hospital Corp.,United States,Ahs Hospital Corp.,United States,Hospitals,80620000,General medical and surgical hospitals,8062,General Medical and Surgical Hospitals
C82,Atlantic Medical Imaging Llc,Galloway,New Jersey,8205,2,42,NA,0,10,220,Private,Parent,NA,Atlantic Medical Imaging Llc,United States,Atlantic Medical Imaging Llc,United States,Physicians and Health Practitioners,80110519,Radiologist,8011,Offices and Clinics of Doctors of Medicine
C83,Atrium Health Foundation,Charlotte,North Carolina,28203,1,7511,NA,12585,4900,62000,Nonprofit,Parent,NA,Atrium Health Foundation,United States,Atrium Health Foundation,United States,Hospitals,80620000,General medical and surgical hospitals,8062,General Medical and Surgical Hospitals
C84,"Au Medical Associates, Inc.",Augusta,Georgia,30901,1,124,NA,73,250,250,Private,Independent,NA,NA,NA,NA,NA,Physicians and Health Practitioners,80119901,"General and family practice, physician/surgeon",8011,Offices and Clinics of Doctors of Medicine
C85,Auburn Community Hospital,Auburn,New York,13021,1,103,NA,102,767,870,Nonprofit,Parent,NA,Auburn Community Hospital,United States,Auburn Community Hospital,United States,Hospitals,80620000,General medical and surgical hospitals,8062,General Medical and Surgical Hospitals
C86,"Auburn Memorial Medical Services, P.C.",Auburn,New York,13021,1,17,NA,3,NA,99,Private,Parent,NA,"Auburn Memorial Medical Services, P.C.",United States,"Auburn Memorial Medical Services, P.C.",United States,Hospitals,80620000,General medical and surgical hospitals,8062,General Medical and Surgical Hospitals
C87,"Augusta E.N.T., P.C.",Evans,Georgia,30809,1,9,NA,NA,120,120,Private,Independent,NA,NA,NA,NA,NA,Physicians and Health Practitioners,80490301,Speech pathologist,8049,"Offices and Clinics of Health Practitioners, Not Elsewhere Classified"
C88,"Augusta Health Care, Inc.",Fishersville,Virginia,22939,1,337,NA,827,1342,2100,Private,Parent,NA,"Augusta Health Care, Inc.",United States,"Augusta Health Care, Inc.",United States,Hospitals,80620000,General medical and surgical hospitals,8062,General Medical and Surgical Hospitals
C89,Augusta Medical Group,Fishersville,Virginia,22939,1,44,NA,NA,2,2,Private,Independent,NA,NA,NA,NA,NA,Ambulatory Services,80999905,Medical services organization,8099,"Health and Allied Services, Not Elsewhere Classified"
C90,Aurora Baycare Medical Center,Green Bay,Wisconsin,54311,1,441,NA,473,57,57,Private,Independent,NA,NA,NA,NA,NA,Hospitals,80620000,General medical and surgical hospitals,8062,General Medical and Surgical Hospitals
C91,"Aurora Diagnostics Holdings, LLC",Palm Beach Gardens,Florida,33410,2,284,NA,239,NA,935,Private,Parent,NA,"Aurora Diagnostics Holdings, LLC",United States,"Aurora Diagnostics Holdings, LLC",United States,Diagnostic Laboratories,80710104,Pathological laboratory,8071,Medical Laboratories
C92,Bacon County Hospital Foundation Inc.,Alma,Georgia,31510,1,35,NA,46,259,393,Nonprofit,Parent,NA,Bacon County Hospital Foundation Inc.,United States,Bacon County Hospital Foundation Inc.,United States,Hospitals,80620000,General medical and surgical hospitals,8062,General Medical and Surgical Hospitals
C93,"Bakersville Community Medical Clinic, Incorporated",Bakersville,North Carolina,28705,1,5,NA,2,35,35,Private,Independent,NA,NA,NA,NA,NA,Physicians and Health Practitioners,80110202,"Clinic, operated by physicians",8011,Offices and Clinics of Doctors of Medicine
C94,Baptist Health,Montgomery,Alabama,36117,1,306,NA,536,1700,2473,Nonprofit,Parent,NA,Baptist Health,United States,Baptist Health,United States,Hospitals,80620000,General medical and surgical hospitals,8062,General Medical and Surgical Hospitals
C95,"Baptist Health South Florida, Inc.",Coral Gables,Florida,33143,4,1294,NA,4832,NA,16000,Private,Parent,NA,"Baptist Health South Florida, Inc.",United States,"Baptist Health South Florida, Inc.",United States,Hospitals,80620000,General medical and surgical hospitals,8062,General Medical and Surgical Hospitals
C96,"Baptist Health System, Inc.",Birmingham,Alabama,35205,2,566,NA,782,300,4300,Nonprofit,Parent,NA,"Baptist Health System, Inc.",United States,"Baptist Health System, Inc.",United States,Physicians and Health Practitioners,80110202,"Clinic, operated by physicians",8011,Offices and Clinics of Doctors of Medicine
C97,Baptist Medical Center of Nassau Inc,Jacksonville,Florida,32207,1,81,NA,NA,4,4,Nonprofit,Independent,NA,NA,NA,NA,NA,Physicians and Health Practitioners,80110200,Medical centers,8011,Offices and Clinics of Doctors of Medicine
C98,"Baptist Memorial Hospital-Golden Triangle, Inc.",Columbus,Mississippi,39705,1,193,NA,108,769,1100,Nonprofit,Subsidiary,NA,"Baptist Memorial Health Care System, Inc.",United States,Baptist Memorial Health Care Corporation,United States,Hospitals,80620000,General medical and surgical hospitals,8062,General Medical and Surgical Hospitals
C99,"Baptist Memorial Hospital-Union County, Inc.",New Albany,Mississippi,38652,1,63,NA,32,400,400,Nonprofit,Subsidiary,NA,"Baptist Memorial Health Care System, Inc.",United States,Baptist Memorial Health Care Corporation,United States,Hospitals,80620000,General medical and surgical hospitals,8062,General Medical and Surgical Hospitals
C100,"Barnesville Hospital Association, Inc.",Barnesville,Ohio,43713,2,20,NA,18,NA,330,Nonprofit,Parent,NA,"Barnesville Hospital Association, Inc.",United States,"Barnesville Hospital Association, Inc.",United States,Hospitals,80629901,"Hospital, affiliated with AMA residency",8062,General Medical and Surgical Hospitals
C101,"Bay Area Medical Center, Inc.",Marinette,Wisconsin,54143,1,83,NA,197,NA,700,Nonprofit,Parent,NA,"Bay Area Medical Center, Inc.",United States,"Bay Area Medical Center, Inc.",United States,Hospitals,80620000,General medical and surgical hospitals,8062,General Medical and Surgical Hospitals
